index,review,tagging
6853,진한 국물이 좋습니다 다만 고기가 조금 더 들어가면 좋겠습니다,"{'진한 국물이 좋습니다': '맛/향/풍미', '고기가 조금 더 들어가면 좋겠습니다': '양'}"
6854,한 끼 맛있게 국밥으로 해결했습니다,{'한 끼 맛있게 국밥으로 해결했습니다': '맛/향/풍미'}
6855,저희 엄마는 맛없다고 그러시네요,{}
6856,국물 필요할 때 좋은데 다른 집이 더 좋아요,"{'국물 필요할 때 좋은데': '활용 방법', '다른 집이 더 좋아요': '맛/향/풍미'}"
6857,"아주 맛있게 먹었어요 무와 두부 더 넣고 끓여도 괜찮네요 
당면도 불려서 같이 끓였어요 ","{'아주 맛있게 먹었어요': '맛/향/풍미', '무와 두부 더 넣고 끓여도 괜찮네요': '활용 방법', '당면도 불려서 같이 끓였어요': '활용 방법'}"
6858,이거 아침에 간단하게 끓여서 밥 말아서 먹기 너무 좋아요 자극적이지 않고 맛있어요,"{'아침에 간단하게 끓여서 밥 말아서 먹기 너무 좋아요': '활용 방법', '자극적이지 않고 맛있어요': '맛/향/풍미'}"
6859,완전 맛있어요 고기 푸짐하게 들어 있고 국물이 끝내줘요 ,"{'완전 맛있어요': '맛/향/풍미', '고기 푸짐하게 들어 있고': '양', '국물이 끝내줘요': '맛/향/풍미'}"
6860,뜨끈한 국물 필요할 때 굿,{'뜨끈한 국물 필요할 때 굿': '활용 방법'}
6861,"바쁠 때 하나씩 꺼내 먹을려고 주문했어요
세 일도 하고 후기도 좋네요 기대 기대",{}
6862,그냥 곰탕으로 먹어도 맛있지만 이번엔 무를 넣고 소고기 무 국으로 시원하고 맛있음 ,"{'그냥 곰탕으로 먹어도 맛있지만': '맛/향/풍미', '이번엔 무를 넣고 소고기 무 국으로 시원하고 맛있음': '맛/향/풍미'}"
6863,맛있어요 나주에서 먹어 봤는데 진짜 그 맛이에요,"{'맛있어요': '맛/향/풍미', '진짜 그 맛이에요': '맛/향/풍미'}"
6864,"간 편식으로 깔끔하고 맛있어요 
떡국 떡 넣어서 끓이면 간 편식 떡국이 뚝딱 완성 ","{'간 편식으로 깔끔하고 맛있어요': '맛/향/풍미', '떡국 떡 넣어서 끓이면 간 편식 떡국이 뚝딱 완성': '활용 방법'}"
6865,항상 맛있어서 늘 주문하는 제품입니다 배송은 정확하고 맛은 더 깔끔하고 진짜 맛있어요 감사합니다,"{'항상 맛있어서 늘 주문하는 제품입니다': '맛/향/풍미', '배송은 정확하고': '포장/배송', '맛은 더 깔끔하고 진짜 맛있어요': '맛/향/풍미'}"
6866,"재구매 입니다
감칠맛이 느껴지고 제 입맛엔 딱 좋아요
저는 두 번 나눠 먹으면 적당한 양이예요","{'재구매 입니다': '보관', '감칠맛이 느껴지고 제 입맛엔 딱 좋아요': '맛/향/풍미', '두 번 나눠 먹으면 적당한 양이예요': '양'}"
6867,찢어진 소고기가 좀 질겨요 그 외엔 만족,{'찢어진 소고기가 좀 질겨요': '맛/향/풍미'}
6868,국물이 개운하고 맛 있는데 고기 양이 많진 않네요 ,"{'국물이 개운하고 맛 있는데': '맛/향/풍미', '고기 양이 많진 않네요': '양'}"
6869,"맛있어요 다만 봉지가 약해서  냉동 상태의 봉지가 찍히고 그래요 ㅠ 
딸아이 완 뚝","{'맛있어요': '맛/향/풍미', '봉지가 약해서': '포장/배송', '냉동 상태의 봉지가 찍히고 그래요': '포장/배송'}"
6870,"아이가 좋아해서 재 주문했어요
고기 잡내도 많이 나지 않고 깔끔한 육수가 너무 맛있네요 ","{'아이가 좋아해서 재 주문했어요': '양', '고기 잡내도 많이 나지 않고': '맛/향/풍미', '깔끔한 육수가 너무 맛있네요': '맛/향/풍미'}"
6871,"전날 미리 냉장 실에 넣어서 해동해 두고 잤어요
아침에 휘리릭 끓여서 먹으려구요 

전날 남편이랑 술 한 잔 하고 자면 아침에 일어나서 밥 하기 귀찮잖아요 
그냥 봉지 뜯고 끓이기만하니까 완성이라서 너무 좋았어요 5분 만에 아침 해결

맛은 곰탕이라기보다는 갈비탕 같은 맛인데 아침에 해장용으로는 맑고 개운한 느낌이라 더 좋더라구요

고기도 양도 적당하고 질기거나 잡내 나는 거 없이 깔끔했어요

마지막에 파 조금 썰어서 먹었는데 국물 양도 넉넉해서 추가로 밥도 더 말아먹었습니다

냉동실 쟁여템이 될 것 같아요","{'전날 미리 냉장 실에 넣어서 해동해 두고 잤어요': '보관', '아침에 휘리릭 끓여서 먹으려구요': '활용 방법', '그냥 봉지 뜯고 끓이기만하니까 완성이라서 너무 좋았어요 5분 만에 아침 해결': '활용 방법', '맛은 곰탕이라기보다는 갈비탕 같은 맛인데 아침에 해장용으로는 맑고 개운한 느낌이라 더 좋더라구요': '맛/향/풍미', '고기도 양도 적당하고 질기거나 잡내 나는 거 없이 깔끔했어요': '양', '국물 양도 넉넉해서 추가로 밥도 더 말아먹었습니다': '양', '냉동실 쟁여템이 될 것 같아요': '보관'}"
6872,"깊은 육수 맛이 저의 입맛과 너무 잘 맞아서 맛있게 잘 먹었어요
간이 너무 세지도 않아서 밥 한 그릇 호로록했네여 다 먹고 남은 육수까지 다 흡입했어요 햇 반 하나 더 뜯고 싶은 거 참느라 혼남 든든하게 잘 먹었습니다","{'깊은 육수 맛이 저의 입맛과 너무 잘 맞아서 맛있게 잘 먹었어요': '맛/향/풍미', '간이 너무 세지도 않아서': '맛/향/풍미', '밥 한 그릇 호로록했네여': '양', '다 먹고 남은 육수까지 다 흡입했어요': '양', '든든하게 잘 먹었습니다': '양'}"
6873,후기가 좋아 구매했어요 맛있을 거 같아요,{}
6874,사진 못 찍었지만 ㅠ잘 먹었어요 ㅎㅇ,{}
6875,밥이랑 먹으려고 여러 개 샀어요,{}
6876,냉동실에 쟁여 뒀다가 반찬 없을 때 아이들 줍니다 너무 좋아하네요,"{'냉동실에 쟁여 뒀다가 반찬 없을 때 아이들 줍니다': '보관', '너무 좋아하네요': '맛/향/풍미'}"
6877,맛 있는데 양이 넘 적음,"{'맛 있는데': '맛/향/풍미', '양이 넘 적음': '양'}"
6878,처음인데 마마리 역시 좋아요,{}
6879,한우 곰탕 친정엄마 드시라고 드렸는데 잘 드셨어요,{}
6880,마마리 나주 곰탕은 처음 먹어 보는데 맛이 꽤 괜찮네요 고기도 너무 퍽퍽하거나 질긴 느낌 없구요 재구매 의사 있습니다,"{'맛이 꽤 괜찮네요': '맛/향/풍미', '고기도 너무 퍽퍽하거나 질긴 느낌 없구요': '맛/향/풍미', '재구매 의사 있습니다': '보관'}"
6881,늘 다른 한우 곰탕 먹다가 후기가 괜찮길래 사 봤어요,{}
6882,맛있는 곰탕 반찬 없을 때 좋아요,{'맛있는 곰탕 반찬 없을 때 좋아요': '활용 방법'}
6883,정말 맛있어요 국물이 진짜 끝내줍니다 마 마리는 미역국도 맛있는 데 곰탕도 정말 맛있네요,"{'정말 맛있어요': '맛/향/풍미', '국물이 진짜 끝내줍니다': '맛/향/풍미', '미역국도 맛있는 데 곰탕도 정말 맛있네요': '맛/향/풍미'}"
6884,좋아하는 곰탕 얼릉 먹어야지,{}
6885,"개인적으로나 주식 곰탕이 개운하고 맛있어요
여름에 불 쓰기도 어려운데 간단한 한 끼 좋아요","{'개인적으로나 주식 곰탕이 개운하고 맛있어요': '맛/향/풍미', '여름에 불 쓰기도 어려운데 간단한 한 끼 좋아요': '활용 방법'}"
6886,맛 잇어서 매번 주문해서 먹어요,{'맛 잇어서 매번 주문해서 먹어요': '맛/향/풍미'}
6887,지난번 시켜 먹고 맛있어 재구매,{}
6888,1인분 한 끼 식사로 먹기 좋아요 아직 100퍼 해동되지 않은 끓이기 전 상태인데 고기도 아이들 먹기 좋은 사이즈라 만족스러워요,"{'1인분 한 끼 식사로 먹기 좋아요': '활용 방법', '고기도 아이들 먹기 좋은 사이즈라 만족스러워요': '양'}"
6889,"할인해서 처음 사 봤어요
나주 곰탕이 먹기 편해요","{'할인해서 처음 사 봤어요': '가격', '나주 곰탕이 먹기 편해요': '활용 방법'}"
6890,맑은 곰탕 떡국 베이스로도 맛있어요 ,{'맑은 곰탕 떡국 베이스로도 맛있어요': '맛/향/풍미'}
6891,더운데 배송 감사 드립니다                      ,{}
6892,재구매했어요 간단히 먹기 좋아요,{}
6893,국물 맛도 좋고 맛있어요,"{'국물 맛도 좋고': '맛/향/풍미', '맛있어요': '맛/향/풍미'}"
6894,"한 봉지 1 인이 먹기 딱 좋아요  
슴슴하게 먹는 편인데 간이 강하지 않아서 밥이랑 먹기 딱 좋았어요 
재구매 의사 있습니다 ","{'한 봉지 1 인이 먹기 딱 좋아요': '양', '간이 강하지 않아서 밥이랑 먹기 딱 좋았어요': '맛/향/풍미', '재구매 의사 있습니다': '가격'}"
6895,곰탕 맛있어요 계속 품절이라 아쉬웠는데 오늘은 입고 완료,{'곰탕 맛있어요': '맛/향/풍미'}
6896,"와 진짜 맛있어요
제주까지 컬리가 된다니 신세계에요
자주 이용할 거 같아요
포장도 진짜 꼼꼼하고 좋은데 한번 사용하기는 너무 아깝네요
감사합니다","{'와 진짜 맛있어요': '맛/향/풍미', '포장도 진짜 꼼꼼하고 좋은데': '포장/배송'}"
6897,이거 참 맛있어요 굿,{'이거 참 맛있어요': '맛/향/풍미'}
6898,반찬 없을 때 냉동실 서 꺼내 먹기 좋아요 고기 양도 생각보다 많아요,"{'반찬 없을 때 냉동실 서 꺼내 먹기 좋아요': '활용 방법', '고기 양도 생각보다 많아요': '양'}"
6899,"배송 답이 없네요
자꾸 녹아서 배송되자 마자 받으려고 계속 확인 함
11시부터 계속 확인 1112시 사이 배송되거나 새벽 34
새벽 5시 배송 완료
5시 8분 수령
드라이 아이스 한쪽에 몰려 있고
조금 늦게 받았더라면 또 녹았을 듯
대책이 필요해요","{'배송 답이 없네요': '포장/배송', '자꾸 녹아서 배송되자 마자 받으려고 계속 확인 함': '포장/배송', '조금 늦게 받았더라면 또 녹았을 듯': '포장/배송', '대책이 필요해요': '포장/배송'}"
6900,"추석 선물로 시댁 어르신네로 발송했어요 
아침에 잘 받았다며 사진을 보내 주셨는데 다른 제품이더라구요 
바로 카카오톡으로 문의했는데 반품 회수 후 해결해 주겠다는 앵무새 같은 답변뿐이네요 
상식적으로 시댁 어르신께 오 배송됬다고  
냉장고에서 빼서 다시 담고 박스 포장해서 집 앞에 놔 달라고 하는 게 가능한가요 

컬리 정책상 반품 회수 후 도움 드릴 수 있다는 답변만 하네요 
먼저 오 배송으로 실수를 한 건 컬리인데 
왜 제가 불편함까지 감수하며 컬리에 정책을 따라야하는 건지  추석 선물 세트 상품인데 참 씁 슬 하네요","{'아침에 잘 받았다며 사진을 보내 주셨는데 다른 제품이더라구요': '포장/배송', '바로 카카오톡으로 문의했는데 반품 회수 후 해결해 주겠다는 앵무새 같은 답변뿐이네요': '포장/배송', '상식적으로 시댁 어르신께 오 배송됬다고': '포장/배송', '냉장고에서 빼서 다시 담고 박스 포장해서 집 앞에 놔 달라고 하는 게 가능한가요': '포장/배송', '컬리 정책상 반품 회수 후 도움 드릴 수 있다는 답변만 하네요': '포장/배송', '먼저 오 배송으로 실수를 한 건 컬리인데': '포장/배송', '왜 제가 불편함까지 감수하며 컬리에 정책을 따라야하는 건지': '포장/배송', '추석 선물 세트 상품인데 참 씁 슬 하네요': '포장/배송'}"
6901," 세 개 구매해서 두 개는 선물 보내고 하나는 제가 먹었는데 봉투 아랫부분에 구멍들이 뚫려서  
스티로폼 박스에 국물에 샜어요 
선물 보낸 건 괜찮은지 모르겠네요
이제 집에 돌아와 후기 남기네요 
배송 상자를 좀 여유 있게 제작하시던지하셔야지 이렇게 꽉꽉 담아 꽁꽁 얼린 것들이 충격이나 뭐에 찢어질 수도 있다는 거 아셔야할 것 같네요","{'봉투 아랫부분에 구멍들이 뚫려서': '포장/배송', '스티로폼 박스에 국물에 샜어요': '포장/배송', '배송 상자를 좀 여유 있게 제작하시던지하셔야지': '포장/배송', '이렇게 꽉꽉 담아 꽁꽁 얼린 것들이 충격이나 뭐에 찢어질 수도 있다는 거 아셔야할 것 같네요': '포장/배송'}"
6902,엄마 보내 드렸어요 워낙 바쁘셔서 간편하게 드시라고 보냈는데 포장이 고급지고 좋다고 비싼 거 보냈다고 좋아하셨어요 컬리에서 할인하고 쿠폰으로 저렴하게 구매해서 좋아요,"{'포장이 고급지고 좋다고': '포장/배송', '비싼 거 보냈다고 좋아하셨어요': '가격', '컬리에서 할인하고 쿠폰으로 저렴하게 구매해서 좋아요': '가격'}"
6903,"신랑이 좋아해서 재구매하는 제품 중 하나 
낱개로 11000원인데 선물 세트 4개 들은 게 할인을 크게 하길래 쟁여 두려고 주문했어요
포장도 너무 예쁘게 와서 명절에 선물용으로 쓸 껄 그랬다는 생각이
도가니탕만 먹다가 세트에는 고기 곰탕도 포함돼 있어서 이번에 처음 먹어 봤는데
국물은 같고 내용물이 도가니냐 고기냐 이 차이네요
여기 곰탕 먹으면 다른 집은 물같이 느껴질 것 같아요
차가운 상태엔 죽같이 걸 죽해요
간이 아예 안 돼 있는 제품이라 기호에 맞게 간 조절할 수 있는 점도 좋네요
후추랑 대파 소금 좀 넣고 끓이다가 밥이랑 김치랑 먹으니 몸보신이 따로 없어요 ㅠㅡㅠ
요즘같이 추운 날 강추템입니당","{'신랑이 좋아해서 재구매하는 제품 중 하나': '보관', '낱개로 11000원인데 선물 세트 4개 들은 게 할인을 크게 하길래 쟁여 두려고 주문했어요': '가격', '포장도 너무 예쁘게 와서 명절에 선물용으로 쓸 껄 그랬다는 생각이': '포장/배송', '국물은 같고 내용물이 도가니냐 고기냐 이 차이네요': '맛/향/풍미', '여기 곰탕 먹으면 다른 집은 물같이 느껴질 것 같아요': '맛/향/풍미', '차가운 상태엔 죽같이 걸 죽해요': '맛/향/풍미', '간이 아예 안 돼 있는 제품이라 기호에 맞게 간 조절할 수 있는 점도 좋네요': '맛/향/풍미', '후추랑 대파 소금 좀 넣고 끓이다가 밥이랑 김치랑 먹으니 몸보신이 따로 없어요': '활용 방법', '요즘같이 추운 날 강추템입니당': '활용 방법'}"
6904,경복궁 도가니탕 곰탕 좋아하는데 세 일해서 얼른 샀네요 선물 세트도 이쁘네요,"{'경복궁 도가니탕 곰탕 좋아하는데': '맛/향/풍미', '선물 세트도 이쁘네요': '포장/배송'}"
6905,"도가니탕이 맛있어서 재구매했는데 오늘 받고 보니 가격이 5000원 정도 싼 건 기분이 좀 그러네요 동일 상품으로 시간 차도 거의 없이 가격 변동을 하다니
어쨌든 곰탕보다는 도가니탕은 실속 있고 개운해요","{'가격이 5000원 정도 싼 건 기분이 좀 그러네요': '가격', '어쨌든 곰탕보다는 도가니탕은 실속 있고 개운해요': '맛/향/풍미'}"
6906,"푸의 맛을 기대했으나 다른 맛
도가니의 양은 적지 않음
국물은 거의 우유 빛깔
경복궁 BLACK 이라는 브랜드를 달아 주기에는 국물이 쬐금 부족 뭔가하다는 개인적인 생각 입니다","{'푸의 맛을 기대했으나 다른 맛': '맛/향/풍미', '도가니의 양은 적지 않음': '양', '국물은 거의 우유 빛깔': '맛/향/풍미', '국물이 쬐금 부족 뭔가하다는 개인적인 생각 입니다': '양'}"
6907,곰 국물을 무조건 경복궁입니다 진리요,{}
6908,"귀퉁이 부분에서 내용물이 샜지만 아무래도 냉동 상태이다 보니 어디 부딪히면 금방 찢어지는 듯해요
컬리에서 다 잘 처리해 주셨습니다
포장이 개선되면 좋을 거 같아요","{'귀퉁이 부분에서 내용물이 샜지만 아무래도 냉동 상태이다 보니 어디 부딪히면 금방 찢어지는 듯해요': '포장/배송', '컬리에서 다 잘 처리해 주셨습니다': '포장/배송', '포장이 개선되면 좋을 거 같아요': '포장/배송'}"
6909,명절 선물로 부담 없이 좋아요 만족합니다,{}
6910,"전 이런 거 냄새도 못 맡아서 먹을 일 없겠지만 나 빼고 다른 분들은 좋아하능 거 같아서 ㅋ 특가 뜨길래 몇 번을
삿는지 모르겟네요 
받고 너무들 좋아하셔서 저도 기분이 좋아요",{}
6911,아이 생일 파티 준비로 구매했어요,{}
6912,부모님께 보내 드렸는데 좋아하시네요 ,{}
6913,국물이 진하고 맛 있어요,{'국물이 진하고 맛 있어요': '맛/향/풍미'}
6914,"저 이거 두 박스 주문했는데 한 박스만 왔어요
그리고 이 박스 위에 도넛 박스 올려놓으셨던데 도넛 박스가 다 젖어서 도넛도 조금 젖었","{'저 이거 두 박스 주문했는데 한 박스만 왔어요': '포장/배송', '도넛 박스가 다 젖어서 도넛도 조금 젖었': '포장/배송'}"
6915,추석 선물 세트라 그런가 배송 시 케이스 이렇게 와요 맛있길 기대함 ,"{'배송 시 케이스 이렇게 와요': '포장/배송', '맛있길 기대함': '맛/향/풍미'}"
6916,곰탕은 살짝 분유 맛이 나는 것 같은 느낌과 너무 하얀 국물  도가니는 생각보다 많이 들어 있어요,"{'곰탕은 살짝 분유 맛이 나는 것 같은 느낌과 너무 하얀 국물': '맛/향/풍미', '도가니는 생각보다 많이 들어 있어요': '양'}"
6917,아주 좋아요 선물했는데 좋아하셨어요,{}
6918,부모님이 좋아하시네요 엄마의 수고로움을 덜디 위해 주문해 드렸어요,{}
6919,가격대 비 만족합니다 추천,{'가격대 비 만족합니다': '가격'}
6920,"너무 이상한 맛입니다
국물이 분유 탄 거 같이 찝찝하네요
가족들이 탕 종류를 좋아하고 시골에서 바로 도축한 사골을 자주 보내 줘 자주 끓여 봤는데 이런 곰국은 처음이네요
애들이 이상하다고 안 먹는 데다 저도 찝찝해서 버렸습니다 ㅠ","{'너무 이상한 맛입니다': '맛/향/풍미', '국물이 분유 탄 거 같이 찝찝하네요': '맛/향/풍미', '이런 곰국은 처음이네요': '맛/향/풍미', '애들이 이상하다고 안 먹는 데다 저도 찝찝해서 버렸습니다': '맛/향/풍미'}"
6921,가끔 구성이 좋아서 세일할 때 종종 구매해요,{}
6922,아침 간 편식으로 먹기 좋아요,{}
6923,선물 세트라 포장이 잘 되어 왔어요 먹어 보고 선물해야겠어요,{'포장이 잘 되어 왔어요': '포장/배송'}
6924,본가 선물 해 드렸어요,{}
6925,"사골 분말처럼 넘 하햫네요 고기 딱 두 점 들어 있구요
시중에 사골 국물 더 맛있는 것도 많은데 별로네요","{'사골 분말처럼 넘 하햫네요': '맛/향/풍미', '고기 딱 두 점 들어 있구요': '양', '시중에 사골 국물 더 맛있는 것도 많은데 별로네요': '맛/향/풍미'}"
6926,부모님께 보내 드렸는데 엄청 진하다고 하시네요 ,{'엄청 진하다고 하시네요': '맛/향/풍미'}
6927,전에 경복궁 도가니탕 넘 맛있게 먹었는데 선물 세트로 넘 잘 나와서 부모님 보내 드렸어요 구성 넘 좋아요,"{'전에 경복궁 도가니탕 넘 맛있게 먹었는데': '맛/향/풍미', '구성 넘 좋아요': '양'}"
6928,해동해서 데워 먹기 좋아욯,{'해동해서 데워 먹기 좋아욯': '활용 방법'}
6929,친정에 선물해 드렸어요 급할 때 끓여 드시라고,{}
6930,동생이 아파서 보내 줬는데 맛있게 먹었다고 하네요,{}
6931,"냉동실에 쟁여 놓으면 너무 든든합니다
남편 아침 퇴근 시 딱 좋아요","{'냉동실에 쟁여 놓으면 너무 든든합니다': '보관', '남편 아침 퇴근 시 딱 좋아요': '활용 방법'}"
6932,선물로 보내 드렸는데 좋아하시네여,{}
6933,행사 때 싸게 구입했어요,{}
6934,믿고 사는 쟁여템 중 베스트,{}
6935,국물이 진하고 맛있어서 계속 시켜 먹고 있어요,{'국물이 진하고 맛있어서 계속 시켜 먹고 있어요': '맛/향/풍미'}
6936,선물로 드리려고 구매했다가 제시간에 전달을 못 드려 제가 개봉했는데 저렇게 한 봉지가 터져서 줄줄 흐른 상태로 되어 있네요 선물했으면 정말 큰일 날 뻔했어요 환불 속도도 너무 느려서 아직도 처리가 안 됐네요 회수 절차 필요하다고 해서 굳이 또 재포장해서 밖에 며칠씩 두고 너무 번거롭고 경험이 최악이라 절대 다시 주문 안 합니다 ,"{'한 봉지가 터져서 줄줄 흐른 상태로 되어 있네요': '포장/배송', '환불 속도도 너무 느려서 아직도 처리가 안 됐네요': '포장/배송', '회수 절차 필요하다고 해서 굳이 또 재포장해서 밖에 며칠씩 두고 너무 번거롭고': '포장/배송', '경험이 최악이라 절대 다시 주문 안 합니다': '포장/배송'}"
6937,국물이 진하고 맛있어서 몇 번이나 시켜 먹고 있어요,{'국물이 진하고 맛있어서': '맛/향/풍미'}
6938,비교 불가 경복궁 제품 이내요,{}
6939,"도가니탕만 먹었는데 도가니는 엄청 많아요 
근데 국물은 진하긴한데 개인적으로 썩 맛있다는 느낌은 아니네요","{'도가니는 엄청 많아요': '양', '국물은 진하긴한데 개인적으로 썩 맛있다는 느낌은 아니네요': '맛/향/풍미'}"
6940,"경 족 궁 사골 도가니탕 맛있어서 자주 구매하는 게
곰탕도 맛있겠죠","{'경 족 궁 사골 도가니탕 맛있어서 자주 구매하는 게': '맛/향/풍미', '곰탕도 맛있겠죠': '맛/향/풍미'}"
6941,부모님 선물로 드렸는데 진하고 맛있게 잘 먹었습니다 ,{'진하고 맛있게 잘 먹었습니다': '맛/향/풍미'}
6942,실속 있어요 4개가 할인이 많이 되어 좋아요 맛있구요,"{'실속 있어요': '가격', '4개가 할인이 많이 되어 좋아요': '가격', '맛있구요': '맛/향/풍미'}"
6943,도가니탕 애들 아빠가 잘 먹어요,{}
6944,어버이날 선물로 드렸는데 포장도 잘 되 있어서 선물용으로 딱입니다,{'포장도 잘 되 있어서 선물용으로 딱입니다': '포장/배송'}
6945,쟁여 놓고 먹으려고 구매해 봅니다 ,{}
6946,"도가니탕이 너무 좋아서 늘 주문해서 먹고 있어요 도가니도 엄청 많이 들어 있고 국물도 진해서  너무 애용합니다 근런데  이 번에 선물 세트로 구성된 거에 고기곰탐이 있었네요
고기 곰탕인데  얇디 얇은 고기가  달랑 두 개 있네요 ㅠ
이건 좀 아쉽습니다","{'도가니도 엄청 많이 들어 있고': '양', '국물도 진해서 너무 애용합니다': '맛/향/풍미', '얇디 얇은 고기가 달랑 두 개 있네요': '양', '이건 좀 아쉽습니다': '양'}"
6947,고기 곰탕은 도가니탕보다 유통 기한이 좀 짧네요,{'고기 곰탕은 도가니탕보다 유통 기한이 좀 짧네요': '보관'}
6948,엄마가 맛있다고 하셨어요 좋아요,{}
6949,"좋은 가격에 구매해서 더 좋네요
믿고 사는 경복궁",{'좋은 가격에 구매해서 더 좋네요': '가격'}
6950,"물건 받자마자 후기써요
맛이 좋다는 후기가 많아 일단 믿고 주문했어요
이번 주 엄청 더운데 이른 새벽에 도착할 꺼 같아 안 자고 기다렸습니다
초기에 냉동식품시켰다가 반 이상 녹은 물건 받은 경험이 있어서
물건 받고 냉장 식품이라 넣어 두고 잘려구 요
박스에 ㅡ아이스팩 하나 넣어서 새벽 12시 30분에 도착했다는 알림 보고 확인했는데
아이스팩이 구멍이 나서 박스는 다 젖은 채로 배송이 됐네요
안 기다리고 아침에 확인했다면
배송 때문에 냉장 냉동식품 시키기가 꺼려집니다 이제 더 더워질 껀데","{'물건 받고 냉장 식품이라 넣어 두고 잘려구 요': '보관', '아이스팩이 구멍이 나서 박스는 다 젖은 채로 배송이 됐네요': '포장/배송', '배송 때문에 냉장 냉동식품 시키기가 꺼려집니다': '포장/배송'}"
6951,"진짜 사골 국물이 맞는 건지 의심스러워요 ㅠ
뽀얀 국물이 아니라 완전 밀가루 색임 ㅠ 
건더기가 없어서 집에 샤브 고기가 있어서 같이 끓였더니 고기 분비물과 하얀 국물이 엉겨 붙어서 걷어 내니
국물 색이 물색으로 변해서 너무 놀라서 다 버렸어 오
저렴해서 한 끼 맛있게 먹자 시켰는데 ㅠ 사골 국물은 진짜 아니네요 ","{'진짜 사골 국물이 맞는 건지 의심스러워요': '맛/향/풍미', '뽀얀 국물이 아니라 완전 밀가루 색임': '맛/향/풍미', '건더기가 없어서 집에 샤브 고기가 있어서 같이 끓였더니': '양', '국물 색이 물색으로 변해서 너무 놀라서 다 버렸어': '양', '저렴해서 한 끼 맛있게 먹자 시켰는데': '가격', '사골 국물은 진짜 아니네요': '맛/향/풍미'}"
6952,첨가물 없이 고아서 만든 거 같아요,{'첨가물 없이 고아서 만든 거 같아요': '맛/향/풍미'}
6953,고삼 농협 사골 곰탕 소금 간이 없어 좋아요,{'소금 간이 없어 좋아요': '맛/향/풍미'}
6954,지나치게 우윳빛인데 이거 다른 거 안 들어간 거겠죠,{}
6955,만두국 해 먹기 좋아요 고기는 안 들어 있어요,"{'만두국 해 먹기 좋아요': '활용 방법', '고기는 안 들어 있어요': '양'}"
6956,맛 잇네요 국물 요 추천,"{'맛 잇네요': '맛/향/풍미', '국물 요 추천': '활용 방법'}"
6957,곰탕은 항상 이걸로 삽니다 ,{}
6958,"고삼 농협 꺼 평이 좋아서 주문해 봤어요
국물이 진하고 냄새가 나지 않아서 잘 먹었습니다 또 주문할 듯","{'국물이 진하고': '맛/향/풍미', '냄새가 나지 않아서 잘 먹었습니다': '맛/향/풍미'}"
6959,"간이 안 되어 있어 좋아요
간되어 있는 건 조미료 맛이 나서 싫어해요","{'간이 안 되어 있어 좋아요': '맛/향/풍미', '간되어 있는 건 조미료 맛이 나서 싫어해요': '맛/향/풍미'}"
6960,동네 마트에서 우연찮게 사서 먹어 보고 맛있어서 컬리에서 구매해요,{}
6961,국물이 뽀얀 진한 사골 국 이네요 만두국해서 든든하게 먹었어요 소금 간은 따로 해야해요,"{'국물이 뽀얀 진한 사골 국 이네요': '맛/향/풍미', '만두국해서 든든하게 먹었어요': '활용 방법', '소금 간은 따로 해야해요': '맛/향/풍미'}"
6962,"만두국 해 먹는 데 썼어요 
국물이 진하고 맛있어요","{'만두국 해 먹는 데 썼어요': '활용 방법', '국물이 진하고 맛있어요': '맛/향/풍미'}"
6963,가끔 생각 나는 사골 곰탕 ,{}
6964,"곰탕 괜찮아요
남편이 괜찮답니다",{}
6965,떡국 하려고 샀어요 좋아요,{}
6966,"진한 사골 국물 좋네요
떡국 베이스로 사용하니 좋아요 고소합니다","{'진한 사골 국물 좋네요': '맛/향/풍미', '떡국 베이스로 사용하니 좋아요': '활용 방법', '고소합니다': '맛/향/풍미'}"
6967,고삼 농협 제품은 예전 생협에서부터 믿고  구매했던 제품이지요,{}
6968,떠건한 게 맛있게 먹었습니당,{}
6969,아침으로 떡국 먹을 때 빠르게 끓일 수 있어서 편해요,{'아침으로 떡국 먹을 때 빠르게 끓일 수 있어서 편해요': '활용 방법'}
6970,잘 받았습니다 맛있게 먹었어요 ,{}
6971,진한 사골 곰탕 맛있어요,{'진한 사골 곰탕 맛있어요': '맛/향/풍미'}
6972,아이 사골 국 간단히 주기 좋음,{'아이 사골 국 간단히 주기 좋음': '활용 방법'}
6973,진하고 고소해요 굿 굿,{'진하고 고소해요': '맛/향/풍미'}
6974,"아직 먹어 보진 않았어요
맛있어 보여요",{}
6975,"사골 곰탕이 아주 진하고 좋아요
좀 아쉬운 점은  곰탕의 구수한 맛이 없네요","{'사골 곰탕이 아주 진하고 좋아요': '맛/향/풍미', '곰탕의 구수한 맛이 없네요': '맛/향/풍미'}"
6976,진한 사골 곰탕이라는 상품명처럼 진하고 맛있어요,{'진한 사골 곰탕이라는 상품명처럼 진하고 맛있어요': '맛/향/풍미'}
6977,첨가물 없이 깔끔해서 좋네요,{'첨가물 없이 깔끔해서 좋네요': '맛/향/풍미'}
6978,잘 받았습니다 엄마가 맛있게 드셨어요 ,{}
6979,밥을 말아서 먹으면 맛있습니다,{'밥을 말아서 먹으면 맛있습니다': '활용 방법'}
6980,국물이 아주 뽀얗고 고소해요,{'국물이 아주 뽀얗고 고소해요': '맛/향/풍미'}
6981,뽀얀 국물이 네 용 냄새 적어서 좋아요,"{'뽀얀 국물이 네 용': '맛/향/풍미', '냄새 적어서 좋아요': '맛/향/풍미'}"
